Provider code,Provider name,Distance to University of Auckland,Distance to AUT,Distance to University of Waikato,Distance to Massey University,Distance to Victoria University of Wellington,Distance to University of Canterbury,Distance to Lincoln University,Distance to University of Otago,2017_TA,2017_Region,2017_urban_rural,2017_authority,2017_school_type,2017_school_gender,2017_decile,Decile,Decile_bands,Min distance to  Uni,Nearest Uni,Distance to nearest uni,Longitude,Latitude,Size
252,St Patrick's College (Silverstream),642,643,513,131,27.8,464,478,813,Upper Hutt City,Wellington Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Single Sex (Boys School),8,8,1-Higher,27.8,Wellington,Bus Range,175.012683,-41.146109,428
100,James Cook High School,29.7,30,109,500,682,"1,118","1,132","1,467",Auckland - Manurewa,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,1,1,3-Lower,29.7,Auckland,Bus Range,174.885978,-37.03498,664
258,Taita College,646,646,516,135,23.8,459,474,809,Lower Hutt City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,23.8,Wellington,Nearby,174.966401,-41.176078,258
256,Bishop Viard College,630,630,500,118,21.5,457,472,806,Porirua City,Wellington Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Co-Educational,1,1,3-Lower,21.5,Wellington,Nearby,174.839225,-41.140416,158
253,Aotea College,627,628,498,116,23.5,459,474,808,Porirua City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,5,5,2-Middle,23.5,Wellington,Nearby,174.854396,-41.125155,556
53,Auckland Girls' Grammar School,1.8,1.8,133,524,706,"1,141","1,156","1,491",Auckland - Waitemata,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),3,3,3-Lower,1.8,Auckland,Nearby,174.75365,-36.857019,759
531,Catholic Cathedral College,"1,083","1,083",953,572,441,7.2,22.4,360,Christchurch City,Canterbury Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Co-Educational,4,4,3-Lower,7.2,Canterbury,Nearby,172.646599,-43.53766,251
237,Waiopehu College,557,557,427,43.6,229,665,680,"1,014",Horowhenua District,Manawatu-Wanganui Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,43.6,Palmy,Bus Range,175.296334,-40.629314,376
99,Manurewa High School,24.1,24.4,111,502,684,"1,119","1,134","1,468",Auckland - Manurewa,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,1,1,3-Lower,24.1,Auckland,Nearby,174.882302,-37.011253,1187
104,Wesley College,43.6,44,98.6,489,671,"1,107","1,122","1,456",Auckland - Franklin,Auckland Region,Rural Area,State : Integrated,Secondary (Year 7-15),Co-Educational,1,1,3-Lower,43.6,Auckland,Bus Range,174.890163,-37.148293,182
491,Sancta Maria College,24.4,24.7,117,507,689,"1,125","1,140","1,474",Auckland - Howick,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Co-Educational,7,7,2-Middle,24.4,Auckland,Nearby,174.904879,-36.957848,468
57,Tamaki College,13,13.4,129,520,702,"1,138","1,152","1,487",Auckland - Maungakiekie-Tamaki,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,1,1,3-Lower,13,Auckland,Nearby,174.867271,-36.877942,361
63,Marcellin College,8.2,8.6,128,519,701,"1,137","1,151","1,486",Auckland - Puketapapa,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Co-Educational,2,2,3-Lower,8.2,Auckland,Nearby,174.766435,-36.91013,259
564,Ormiston Senior College,25.3,25.7,116,507,689,"1,124","1,139","1,473",Auckland - Howick,Auckland Region,Main Urban Area,State,Secondary (Year 11-15),Co-Educational,7,7,2-Middle,25.3,Auckland,Bus Range,174.918244,-36.96796,546
74,Mount Roskill Grammar School,15,15.4,129,520,702,"1,138","1,152","1,487",Auckland - Puketapapa,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,15,Auckland,Nearby,174.747139,-36.912708,1277
70,Marist College,7.5,7.8,134,525,706,"1,142","1,157","1,491",Auckland - Albert-Eden,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Girls School),7,7,2-Middle,7.5,Auckland,Nearby,174.726132,-36.881938,308
80,Pakuranga College,18.4,18.8,127,518,700,"1,136","1,150","1,485",Auckland - Howick,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,7,7,2-Middle,18.4,Auckland,Nearby,174.90177,-36.897629,1471
377,Otago Boys' High School,"1,436","1,436","1,306",925,794,355,344,2.5,Dunedin City,Otago Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),9,9,1-Higher,2.5,Otago,Nearby,170.495877,-45.870984,475
39,Rosmini College,12.1,12.5,141,532,714,"1,150","1,164","1,499",Auckland - Devonport-Takapuna,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Boys School),9,9,1-Higher,12.1,Auckland,Nearby,174.760145,-36.792442,480
68,St Cuthbert's College,5.8,6.1,129,520,702,"1,137","1,152","1,487",Auckland - Albert-Eden,Auckland Region,Main Urban Area,Private : Fully Registered,Composite,Single Sex (Girls School),10,10,1-Higher,5.8,Auckland,Nearby,174.77825,-36.887581,465
43,Massey High School,20.7,21,149,539,721,"1,157","1,172","1,506",Auckland - Henderson-Massey,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,20.7,Auckland,Nearby,174.601692,-36.84188,1217
158,Tokoroa High School,214,215,84.9,314,496,932,947,"1,281",South Waikato District,Waikato Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,84.9,Hamilton,Bus Range,175.861524,-38.226207,350
136,St John's College (Hamilton),132,132,0.6,395,577,"1,013","1,027","1,362",Hamilton City,Waikato Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Single Sex (Boys School),7,7,2-Middle,0.6,Hamilton,Nearby,175.317501,-37.791339,463
93,Auckland Seventh-Day Adventist High School,22.5,22.9,123,514,696,"1,132","1,146","1,481",Auckland - Mangere-Otahuhu,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Co-Educational,1,1,3-Lower,22.5,Auckland,Nearby,174.785002,-36.956393,124
289,Marlborough Girls' College,774,774,644,263,132,314,329,663,Marlborough District,Marlborough Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),7,7,2-Middle,132,Wellington,Remote,173.944436,-41.507454,543
94,De La Salle College,18.8,19.1,120,511,692,"1,128","1,143","1,477",Auckland - Otara-Papatoetoe,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Boys School),1,1,3-Lower,18.8,Auckland,Nearby,174.837763,-36.964806,447
95,Papatoetoe High School,19.6,19.9,115,506,687,"1,123","1,138","1,472",Auckland - Otara-Papatoetoe,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,19.6,Auckland,Nearby,174.871805,-36.975523,923
338,Hornby High School,"1,086","1,086",956,574,444,5.9,14.4,348,Christchurch City,Canterbury Region,Main Urban Area,State,Secondary (Year 7-15),Co-Educational,3,3,3-Lower,5.9,Canterbury,Nearby,172.527634,-43.538178,291
87,Howick College,22.5,22.8,128,519,701,"1,136","1,151","1,486",Auckland - Howick,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,8,8,1-Higher,22.5,Auckland,Nearby,174.939278,-36.90657,1186
324,Avonside Girls' High School,"1,081","1,081",952,570,439,8.3,24.9,362,Christchurch City,Canterbury Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),6,6,2-Middle,8.3,Canterbury,Nearby,172.661521,-43.524033,478
69,Mount Albert Grammar School,7.9,8.3,134,524,706,"1,142","1,157","1,491",Auckland - Albert-Eden,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,7,7,2-Middle,7.9,Auckland,Nearby,174.725348,-36.884707,1797
79,Edgewater College,15.9,16.3,125,515,697,"1,133","1,148","1,482",Auckland - Howick,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,15.9,Auckland,Nearby,174.874745,-36.922506,436
340,Cashmere High School,"1,094","1,094",964,582,452,7.6,20.6,358,Christchurch City,Canterbury Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,9,9,1-Higher,7.6,Canterbury,Nearby,172.62386,-43.564569,1164
321,Shirley Boys' High School,"1,079","1,079",949,568,437,8.9,26.2,364,Christchurch City,Canterbury Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),6,6,2-Middle,8.9,Canterbury,Nearby,172.660834,-43.512348,738
58,Tangaroa College,22.8,23.2,115,506,688,"1,123","1,138","1,472",Auckland - Otara-Papatoetoe,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,1,1,3-Lower,22.8,Auckland,Nearby,174.892909,-36.972904,495
49,Selwyn College,7.9,8.2,129,520,702,"1,138","1,152","1,487",Auckland - Orakei,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,7.9,Auckland,Nearby,174.838551,-36.86233,554
90,McAuley High School,15.4,15.8,120,511,693,"1,128","1,143","1,478",Auckland - Mangere-Otahuhu,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Single Sex (Girls School),1,1,3-Lower,15.4,Auckland,Nearby,174.847352,-36.944408,442
351,Ashburton College,"1,163","1,163","1,033",651,521,81.4,70.7,273,Ashburton District,Canterbury Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,70.7,Canterbury,Bus Range,171.750169,-43.892281,697
273,Wellington High School,650,651,521,139,2.6,444,458,793,Wellington City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,9,9,1-Higher,2.6,Wellington,Nearby,174.774692,-41.300724,771
276,St Patrick's College (Wellington),653,654,524,142,5.6,447,462,796,Wellington City,Wellington Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Single Sex (Boys School),8,8,1-Higher,5.6,Wellington,Nearby,174.795985,-41.313832,551
51,St Paul's College - Auckland,3.5,3.5,135,526,707,"1,143","1,158","1,492",Auckland - Waitemata,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Boys School),2,2,3-Lower,3.5,Auckland,Nearby,174.737789,-36.854456,122
86,Onehunga High School,9.3,9.7,128,518,700,"1,136","1,151","1,485",Auckland - Maungakiekie-Tamaki,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,9.3,Auckland,Nearby,174.770962,-36.919501,680
46,Liston College,17.3,17.7,145,536,718,"1,153","1,168","1,503",Auckland - Henderson-Massey,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Boys School),5,5,2-Middle,17.3,Auckland,Nearby,174.623159,-36.866064,335
16,Whangarei Girls' High School,163,163,292,683,865,"1,300","1,315","1,650",Whangarei District,Northland Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),5,5,2-Middle,163,Auckland,Remote,174.31955,-35.713288,730
334,Riccarton High School,"1,087","1,087",958,576,445,2.9,15.3,351,Christchurch City,Canterbury Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,2.9,Canterbury,Nearby,172.566365,-43.535895,664
44,Waitakere College,17.5,17.9,145,536,718,"1,154","1,169","1,503",Auckland - Henderson-Massey,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,17.5,Auckland,Nearby,174.620711,-36.867097,744
327,Christchurch Boys' High School,"1,086","1,086",956,575,444,2,21.2,354,Christchurch City,Canterbury Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),10,10,1-Higher,2,Canterbury,Nearby,172.598419,-43.524811,901
316,Papanui High School,"1,078","1,078",948,567,436,5.3,22.5,361,Christchurch City,Canterbury Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,7,7,2-Middle,5.3,Canterbury,Nearby,172.606715,-43.491041,873
319,Burnside High School,"1,083","1,084",954,572,442,2.6,18.6,354,Christchurch City,Canterbury Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,8,8,1-Higher,2.6,Canterbury,Nearby,172.57771,-43.50732,1578
132,Hamilton Girls' High School,124,125,7,399,581,"1,016","1,031","1,366",Hamilton City,Waikato Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),6,6,2-Middle,7,Hamilton,Nearby,175.277353,-37.789061,1004
254,Mana College,630,630,500,118,22.8,458,473,807,Porirua City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,22.8,Wellington,Nearby,174.831115,-41.127967,210
81,St Kentigern College,15.5,15.8,127,517,699,"1,135","1,150","1,484",Auckland - Howick,Auckland Region,Main Urban Area,Private : Fully Registered,Secondary (Year 7-15),Co-Educational,10,10,1-Higher,15.5,Auckland,Nearby,174.875034,-36.909712,1000
28,Rangitoto College,19.3,19.6,149,539,721,"1,157","1,172","1,506",Auckland - Upper Harbour,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,10,10,1-Higher,19.3,Auckland,Nearby,174.736683,-36.737197,1928
315,St Bede's College,"1,076","1,076",946,565,434,7.1,23.1,361,Christchurch City,Canterbury Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Single Sex (Boys School),9,9,1-Higher,7.1,Canterbury,Nearby,172.616871,-43.484055,496
121,Tauranga Boys' College,201,202,100,386,568,"1,004","1,019","1,353",Tauranga City,Bay of Plenty Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),6,6,2-Middle,100,Hamilton,Bus Range,176.156215,-37.702139,1120
294,Nelson College,882,882,752,370,240,417,431,766,Nelson City,Nelson Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),7,7,2-Middle,240,Wellington,Remote,173.275568,-41.285573,685
203,Palmerston North Girls' High School,523,523,393,2.9,188,623,638,972,Palmerston North City,Manawatu-Wanganui Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),8,8,1-Higher,2.9,Palmy,Nearby,175.619197,-40.367121,759
152,Rotorua Boys' High School,227,227,102,328,510,946,961,"1,295",Rotorua District,Bay of Plenty Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),3,3,3-Lower,102,Hamilton,Bus Range,176.237476,-38.13727,657
274,Wellington East Girls' College,651,652,522,140,3.7,444,459,793,Wellington City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),8,8,1-Higher,3.7,Wellington,Nearby,174.785007,-41.302357,682
65,Glendowie College,11.3,11.7,130,520,702,"1,138","1,153","1,487",Auckland - Orakei,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,10,10,1-Higher,11.3,Auckland,Nearby,174.868137,-36.862578,749
257,Tawa College,633,634,504,122,18.5,454,469,803,Wellington City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,8,8,1-Higher,18.5,Wellington,Nearby,174.830508,-41.164995,904
64,Epsom Girls' Grammar School,4.1,4.4,130,521,703,"1,139","1,154","1,488",Auckland - Albert-Eden,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),9,9,1-Higher,4.1,Auckland,Nearby,174.774123,-36.876429,1357
694,Vanguard Military School (Partnership School),19.7,20,149,540,722,"1,157","1,172","1,506",Auckland - Upper Harbour,Auckland Region,Main Urban Area,Partnership School,Secondary (Year 9-15),Co-Educational,99,99,1-Higher,19.7,Auckland,Nearby,174.698733,-36.751726,168
286,St Mary's College (Wellington),648,648,518,137,3,442,457,791,Wellington City,Wellington Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Single Sex (Girls School),9,9,1-Higher,3,Wellington,Nearby,174.775179,-41.275812,381
171,New Plymouth Boys' High School,361,361,240,236,421,857,872,"1,206",New Plymouth District,Taranaki Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),7,7,2-Middle,236,Palmy,Remote,174.086318,-39.061546,728
6963,Papamoa College,225,225,115,390,572,"1,008","1,022","1,357",Tauranga City,Bay of Plenty Region,Main Urban Area,State,Secondary (Year 7-15),Co-Educational,6,6,2-Middle,115,Hamilton,Remote,176.302674,0,402
260,St Bernard's College,648,648,518,136,17.8,454,468,803,Lower Hutt City,Wellington Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Boys School),6,6,2-Middle,17.8,Wellington,Nearby,174.916694,-41.210301,305
552,James Hargest College,"1,641","1,641","1,511","1,130",999,560,549,208,Invercargill City,Southland Region,Main Urban Area,State,Secondary (Year 7-15),Co-Educational,8,8,1-Higher,208,Otago,Remote,168.362669,-46.390643,821
40,Rutherford College,14,14.3,142,533,714,"1,150","1,165","1,499",Auckland - Henderson-Massey,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,5,5,2-Middle,14,Auckland,Nearby,174.646309,-36.85259,785
42,Green Bay High School,17.5,17.9,138,528,710,"1,146","1,161","1,495",Auckland - Whau,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,8,8,1-Higher,17.5,Auckland,Nearby,174.669394,-36.930949,806
35,Carmel College,13.2,13.6,142,533,715,"1,151","1,166","1,500",Auckland - Devonport-Takapuna,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Girls School),9,9,1-Higher,13.2,Auckland,Nearby,174.756741,-36.779176,453
275,Wellington College,651,652,522,140,3.5,445,460,794,Wellington City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),10,10,1-Higher,3.5,Wellington,Nearby,174.781374,-41.30361,1163
47,St Dominic's College (Henderson),17.7,18.1,146,536,718,"1,154","1,169","1,503",Auckland - Henderson-Massey,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Girls School),5,5,2-Middle,17.7,Auckland,Nearby,174.621071,-36.868858,419
32,Northcote College,10.9,11.2,140,531,713,"1,148","1,163","1,498",Auckland - Kaipatiki,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,7,7,2-Middle,10.9,Auckland,Nearby,174.733677,-36.808881,640
191,Longburn Adventist College,533,533,403,10.9,196,631,646,980,Palmerston North City,Manawatu-Wanganui Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Co-Educational,5,5,2-Middle,10.9,Palmy,Nearby,175.558142,-40.388364,125
48,Western Springs College,7.2,7.5,137,527,709,"1,145","1,160","1,494",Auckland - Waitemata,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,8,8,1-Higher,7.2,Auckland,Nearby,174.717534,-36.861976,914
227,Hastings Boys' High School,435,436,306,165,306,741,756,"1,090",Hastings District,Hawke's Bay Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),2,2,3-Lower,165,Palmy,Remote,176.834935,-39.650209,427
138,Hillcrest High School,132,133,1.6,395,576,"1,012","1,027","1,361",Hamilton City,Waikato Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,7,7,2-Middle,1.6,Hamilton,Nearby,175.326289,-37.793282,1141
250,Upper Hutt College,646,646,516,134,31.2,467,482,816,Upper Hutt City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,31.2,Wellington,Bus Range,175.040547,-41.126201,641
536,Kavanagh College,"1,436","1,437","1,307",925,794,355,344,2.9,Dunedin City,Otago Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Co-Educational,8,8,1-Higher,2.9,Otago,Nearby,170.496588,-45.873942,382
209,Gisborne Boys' High School,480,480,370,397,537,973,988,"1,322",Gisborne District,Gisborne Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),3,3,3-Lower,370,Hamilton,Remote,178.009033,-38.658873,516
374,Wakatipu High School,"1,559","1,559","1,429","1,048",917,478,467,301,Queenstown-Lakes District,Otago Region,Rural Area,State,Secondary (Year 9-15),Co-Educational,10,10,1-Higher,301,Otago,Remote,168.659633,-45.022554,572
66,Dilworth School,4.8,5.2,130,521,703,"1,138","1,153","1,488",Auckland - Albert-Eden,Auckland Region,Main Urban Area,Private : Fully Registered,Composite,Single Sex (Boys School),4,4,3-Lower,4.8,Auckland,Nearby,174.781062,-36.880302,243
153,Rotorua Girls' High School,228,228,103,327,509,944,959,"1,293",Rotorua District,Bay of Plenty Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),3,3,3-Lower,103,Hamilton,Bus Range,176.238385,-38.147856,378
25,Orewa College,39.6,39.9,169,560,741,"1,177","1,192","1,526",Auckland - Hibiscus and Bays,Auckland Region,Main Urban Area,State,Secondary (Year 7-15),Co-Educational,9,9,1-Higher,39.6,Auckland,Bus Range,174.689747,-36.591698,802
219,Sacred Heart College (Napier),417,417,287,191,331,767,782,"1,116",Napier City,Hawke's Bay Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Single Sex (Girls School),5,5,2-Middle,191,Palmy,Remote,176.911159,-39.483141,184
118,Mount Maunganui College,209,209,107,398,580,"1,015","1,030","1,364",Tauranga City,Bay of Plenty Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,107,Hamilton,Bus Range,176.207104,-37.662775,772
240,Otaki College,576,576,446,64.8,250,686,701,"1,035",Kapiti Coast District,Wellington Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,4,4,3-Lower,64.8,Palmy,Bus Range,175.153793,-40.759362,201
281,Scots College,656,657,527,145,8.7,450,465,799,Wellington City,Wellington Region,Main Urban Area,Private : Fully Registered,Composite,Single Sex (Boys School),10,10,1-Higher,8.7,Wellington,Nearby,174.818441,-41.326932,316
248,Paraparaumu College,601,601,471,89.3,55.6,491,506,840,Kapiti Coast District,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,8,8,1-Higher,55.6,Wellington,Bus Range,175.003987,-40.888258,677
202,Palmerston North Boys' High School,529,529,399,5.6,190,626,641,975,Palmerston North City,Manawatu-Wanganui Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),8,8,1-Higher,5.6,Palmy,Nearby,175.609856,-40.34797,1133
247,Kapiti College,602,602,472,90.4,52.1,488,503,837,Kapiti Coast District,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,8,8,1-Higher,52.1,Wellington,Bus Range,174.982228,-40.921083,950
24,Mahurangi College,60.2,60.6,189,580,762,"1,198","1,213","1,547",Auckland - Rodney,Auckland Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,7,7,2-Middle,60.2,Auckland,Bus Range,174.655544,-36.406517,482
243,Makoura College,611,611,481,91.9,100,536,551,885,Masterton District,Wellington Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,91.9,Palmy,Bus Range,175.666496,-40.961323,202
27,Long Bay College,25.4,25.7,155,545,727,"1,163","1,178","1,512",Auckland - Hibiscus and Bays,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,10,10,1-Higher,25.4,Auckland,Bus Range,174.738757,-36.691395,1020
3,Kaitaia College,314,315,444,834,"1,016","1,452","1,467","1,801",Far North District,Northland Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,314,Auckland,Remote,173.2587,-35.121322,520
6930,Botany Downs Secondary College,19.8,20.1,121,511,693,"1,129","1,144","1,478",Auckland - Howick,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,9,9,1-Higher,19.8,Auckland,Nearby,174.915446,-36.934108,1212
59,Sacred Heart College (Auckland),11.5,11.8,129,520,702,"1,138","1,152","1,487",Auckland - Orakei,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Boys School),8,8,1-Higher,11.5,Auckland,Nearby,174.872413,-36.868894,649
137,Melville High School,128,128,6.9,399,581,"1,016","1,031","1,365",Hamilton City,Waikato Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,6.9,Hamilton,Nearby,175.280739,-37.816917,344
335,Middleton Grange School,"1,086","1,087",957,575,445,2,16.7,352,Christchurch City,Canterbury Region,Main Urban Area,State : Integrated,Composite,Co-Educational,9,9,1-Higher,2,Canterbury,Nearby,172.577843,-43.53673,590
293,Nayland College,885,886,756,374,244,411,426,760,Nelson City,Nelson Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,244,Wellington,Remote,173.232705,-41.305048,558
173,Spotswood College,364,365,244,241,426,862,876,"1,211",New Plymouth District,Taranaki Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,5,5,2-Middle,241,Palmy,Remote,174.036087,-39.071205,424
229,Karamu High School,433,433,303,169,309,745,760,"1,094",Hastings District,Hawke's Bay Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,169,Palmy,Remote,176.866437,-39.646515,483
38,Westlake Girls' High School,12.8,13.1,142,533,715,"1,150","1,165","1,499",Auckland - Devonport-Takapuna,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),9,9,1-Higher,12.8,Auckland,Nearby,174.752309,-36.782458,1457
326,Villa Maria College,"1,086","1,087",957,575,445,2.1,16,352,Christchurch City,Canterbury Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Girls School),9,9,1-Higher,2.1,Canterbury,Nearby,172.567569,-43.528308,431
189,Whanganui High School,446,446,325,78.9,264,699,714,"1,048",Whanganui District,Manawatu-Wanganui Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,78.9,Palmy,Bus Range,175.034543,-39.934054,955
381,Kaikorai Valley College,"1,439","1,440","1,310",928,798,358,347,6,Dunedin City,Otago Region,Main Urban Area,State,Secondary (Year 7-15),Co-Educational,5,5,2-Middle,6,Otago,Nearby,170.467245,-45.881777,210
